Dosya_Adi,Koruma_Sira_No,Koruma_Kodu,Koruma_Aciklamasi,Koruma_Durumu,Koruma_Detay_Satiri
7E0A0010,37,51,Zaman Aşırı Akım Koruma,Tespit Edildi,39. 51     | Zaman Aşırı Akım Koruma        | Tespit Edildi
7E0A0010,38,50N,Ani Toprak Koruma,Tespit Edildi,40. 50N    | Ani Toprak Koruma              | Tespit Edildi
7E0A0010,39,51N,Zaman Aşırı Toprak Koruma,Tespit Edildi,41. 51N    | Zaman Aşırı Toprak Koruma      | Tespit Edildi
7E0A0010,40,67,Yönlü Aşırı Akım Koruma,Tespit Edildi,42. 67     | Yönlü Aşırı Akım Koruma        | Tespit Edildi
7E0A0010,41,67N,Yönlü Toprak Koruma,Tespit Edildi,43. 67N    | Yönlü Toprak Koruma            | Tespit Edildi
7E0A0010,42,67NIEF,Yönlü Toprak Koruma (İnternal),Tespit Edildi,44. 67NIEF | Yönlü Toprak Koruma (İnternal) | Tespit Edildi
7E0A0010,43,50,Ani Akım Koruma,Tespit Edildi,45. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0010,44,51,Zaman Aşırı Akım Koruma,Tespit Edildi,46. 51     | Zaman Aşırı Akım Koruma        | Tespit Edildi
7E0A0010,45,67,Yönlü Aşırı Akım Koruma,Tespit Edildi,47. 67     | Yönlü Aşırı Akım Koruma        | Tespit Edildi
7E0A0010,46,67N,Yönlü Toprak Koruma,Tespit Edildi,48. 67N    | Yönlü Toprak Koruma            | Tespit Edildi
7E0A0010,47,67,Yönlü Aşırı Akım Koruma,Tespit Edildi,49. 67     | Yönlü Aşırı Akım Koruma        | Tespit Edildi
7E0A0010,48,67N,Yönlü Toprak Koruma,Tespit Edildi,50. 67N    | Yönlü Toprak Koruma            | Tespit Edildi
7E0A0010,49,67,Yönlü Aşırı Akım Koruma,Tespit Edildi,51. 67     | Yönlü Aşırı Akım Koruma        | Tespit Edildi
7E0A0010,50,67,Yönlü Aşırı Akım Koruma,Tespit Edildi,52. 67     | Yönlü Aşırı Akım Koruma        | Tespit Edildi
7E0A0010,51,67,Yönlü Aşırı Akım Koruma,Tespit Edildi,53. 67     | Yönlü Aşırı Akım Koruma        | Tespit Edildi
7E0A0010,52,67N,Yönlü Toprak Koruma,Tespit Edildi,54. 67N    | Yönlü Toprak Koruma            | Tespit Edildi
7E0A0010,53,67,Yönlü Aşırı Akım Koruma,Tespit Edildi,55. 67     | Yönlü Aşırı Akım Koruma        | Tespit Edildi
7E0A0010,54,67N,Yönlü Toprak Koruma,Tespit Edildi,56. 67N    | Yönlü Toprak Koruma            | Tespit Edildi
7E0A0010,55,67,Yönlü Aşırı Akım Koruma,Tespit Edildi,57. 67     | Yönlü Aşırı Akım Koruma        | Tespit Edildi
7E0A0010,56,67,Yönlü Aşırı Akım Koruma,Tespit Edildi,58. 67     | Yönlü Aşırı Akım Koruma        | Tespit Edildi
7E0A0010,57,50,Ani Akım Koruma,Tespit Edildi,59. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0010,58,50,Ani Akım Koruma,Tespit Edildi,60. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0010,59,79,Otomatik Kapama/Açma,Açma,61. 79     | Otomatik Kapama/Açma           | Açma
7E0A0010,60,79,Otomatik Kapama/Açma,Tespit Edildi,62. 79     | Otomatik Kapama/Açma           | Tespit Edildi
7E0A0010,61,79,Otomatik Kapama/Açma,Hazır,63. 79     | Otomatik Kapama/Açma           | Hazır
7E0A0010,62,79,Otomatik Kapama/Açma,Aktif,64. 79     | Otomatik Kapama/Açma           | Aktif
7E0A0010,63,46,Faz Sırası/Negatif Sıra Koruma,Tespit Edildi,65. 46     | Faz Sırası/Negatif Sıra Koruma | Tespit Edildi
7E0A0010,64,60,Gerilim/Frekans Dengesizlik,Tespit Edildi,66. 60     | Gerilim/Frekans Dengesizlik    | Tespit Edildi
7E0A0010,65,59,Aşırı Gerilim Koruma,Tespit Edildi,69. 59     | Aşırı Gerilim Koruma           | Tespit Edildi
7E0A0010,66,27,Az Gerilim Koruma,Tespit Edildi,70. 27     | Az Gerilim Koruma              | Tespit Edildi
7E0A0010,67,59,Aşırı Gerilim Koruma,Tespit Edildi,71. 59     | Aşırı Gerilim Koruma           | Tespit Edildi
7E0A0010,68,49F,Termal Koruma,Çalışma,72. 49F    | Termal Koruma                  | Çalışma
7E0A0010,69,68,Blok Koruma,Tespit Edildi,73. 68     | Blok Koruma                    | Tespit Edildi
7E0A0010,70,50,Ani Akım Koruma,Çalışma,74. 50     | Ani Akım Koruma                | Çalışma
7E0A0010,71,51,Zaman Aşırı Akım Koruma,Çalışma,75. 51     | Zaman Aşırı Akım Koruma        | Çalışma
7E0A0010,72,50N,Ani Toprak Koruma,Çalışma,76. 50N    | Ani Toprak Koruma              | Çalışma
7E0A0010,73,51N,Zaman Aşırı Toprak Koruma,Çalışma,77. 51N    | Zaman Aşırı Toprak Koruma      | Çalışma
7E0A0010,74,67,Yönlü Aşırı Akım Koruma,Tespit Edildi,78. 67     | Yönlü Aşırı Akım Koruma        | Tespit Edildi
7E0A0010,75,67N,Yönlü Toprak Koruma,Tespit Edildi,79. 67N    | Yönlü Toprak Koruma            | Tespit Edildi
7E0A0010,76,67NIEF,Yönlü Toprak Koruma (İnternal),Tespit Edildi,80. 67NIEF | Yönlü Toprak Koruma (İnternal) | Tespit Edildi
7E0A0010,77,50,Ani Akım Koruma,Tespit Edildi,81. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0010,78,50,Ani Akım Koruma,Tespit Edildi,82. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0010,79,60,Gerilim/Frekans Dengesizlik,Tespit Edildi,83. 60     | Gerilim/Frekans Dengesizlik    | Tespit Edildi
7E0A0010,80,50,Ani Akım Koruma,Tespit Edildi,84. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0010,81,50,Ani Akım Koruma,Tespit Edildi,85. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0010,82,50,Ani Akım Koruma,Tespit Edildi,86. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0010,83,50,Ani Akım Koruma,Tespit Edildi,87. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0010,84,50,Ani Akım Koruma,Tespit Edildi,88. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0010,85,50,Ani Akım Koruma,Tespit Edildi,89. 50     | Ani Akım Koruma                | Tespit Edildi
